,actors,rank,score,title,type
72,"['李小龙', '苗可秀', '田俊', '田丰']",73,8.4,精武门,"['动作', '剧情', '爱情', '惊悚']"
73,"['贾斯汀·钱伯斯', 'C·托马斯·豪威尔', '迈克尔·B·乔丹', '凯文·麦克基德', '迪·布拉雷·贝克尔', '史蒂夫·布卢姆', '凯文·康瑞', '萨姆·戴利', '达娜·德拉尼']",74,8.4,正义联盟：闪点悖论,"['动作', '科幻', '动画', '奇幻', '冒险']"
74,"['乌玛·瑟曼', '迈克尔·鲍文', '大卫·卡拉丁', '千叶真一', '朱莉·德赖弗斯', '薇薇卡·福克斯', '栗山千明', '迈克尔·马德森', '迈克尔·帕克斯']",75,8.4,杀死比尔整个血腥事件,"['动作', '犯罪']"
75,"['理查德·伯顿', '肖恩·康纳利', '亨利·方达', '约翰·韦恩', '莱德·巴顿斯']",76,8.4,最长的一天,"['动作', '剧情', '历史', '战争']"
76,"['木村拓哉', '苍井优', '浅野忠信', 'Akemi', 'Mark Allen Jr.']",77,8.4,红线,"['动画', '动作', '科幻']"
77,"['Stuart Whitman', 'Sarah Miles', 'James Fox', 'Alberto Sordi', 'Robert Morley']",78,8.4,飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,"['冒险', '喜剧', '动作']"
78,"['约翰·贝鲁西', '丹·艾克罗伊德', '詹姆斯·布朗', '凯比·卡洛威', '雷·查尔斯', '艾瑞莎·弗兰克林', '史蒂夫·克罗帕', '唐纳德·邓恩', 'Murphy Dunne', '威利·霍尔', '汤姆·马龙', '洛乌·马里尼', '马特·墨菲', '艾伦·鲁宾', '凯丽·费雪']",79,8.4,福禄双霸天,"['喜剧', '动作', '犯罪', '音乐']"
79,"['黄自强', '迈克尔·特雷纳', '麦克斯·艾略特·斯莱德', 'Chad Power']",80,8.4,忍者小英雄,"['喜剧', '动作', '运动']"
80,"['张译', '黄景瑜', '海清', '杜江', '蒋璐霞', '尹昉', '王强', '郭家豪', '王雨甜', '麦亨利', '张涵予', '王彦霖']",81,8.3,红海行动,"['动作', '战争']"
81,"['孔侑', '郑有美', '马东锡', '金秀安', '金义城', '崔宇植', '安昭熙', '沈恩京', '禹都临']",82,8.3,釜山行,"['动作', '惊悚', '灾难']"
82,"['范·迪塞尔', '保罗·沃克', '杰森·斯坦森', '米歇尔·罗德里格兹', '乔丹娜·布鲁斯特', '泰瑞斯·吉布森', '卢达克里斯', '道恩·强森', '卢卡斯·布莱克', '库尔特·拉塞尔', '娜塔莉·伊曼纽尔', '埃尔莎·帕塔奇', '盖尔·加朵', '约翰·布罗特顿', '卢克·伊万斯', '托尼·贾', '杰曼·翰苏', '诺尔·古格雷米', '阿里·扎勒', '姜成镐', '龙达·鲁西', '伊吉·阿德利亚', '乔恩·李·布罗迪']",83,8.3,速度与激情7,"['动作', '犯罪', '惊悚']"
83,"['汤姆·克鲁斯', '杰瑞米·雷纳', '西蒙·佩吉', '宝拉·巴顿', '乔什·哈洛威', '迈克尔·恩奎斯特', '亚尼·卡普', '蕾雅·赛杜', '弗拉基米尔·马什科夫', '文·瑞姆斯', '米歇尔·莫纳汉']",84,8.3,碟中谍4,"['动作', '惊悚', '冒险']"
84,"['休·杰克曼', '帕特里克·斯图尔特', '达芙妮·基恩', '波伊德·霍布鲁克', '斯戴芬·莫昌特', '伊丽莎白·罗德里格斯', '多丽丝·莫尔加多', '理查德·E·格兰特', '玛丽·佩顿·斯图尔特', '伊利斯·尼尔', '艾瑞琪·拉·塞拉', '劳伦·格罗斯', '胡安·贾斯帕', '克日什托夫·索什斯基', '萨博·班克森']",85,8.3,金刚狼3：殊死一战,"['剧情', '动作', '科幻']"
85,"['马丁·弗瑞曼', '伊恩·麦克莱恩', '理查德·阿米蒂奇', '伊万杰琳·莉莉', '李·佩斯', '卢克·伊万斯', '本尼迪克特·康伯巴奇', '肯·斯托特', '詹姆斯·内斯比特', '比利·康诺利', '凯特·布兰切特', '伊安·霍姆', '克里斯托弗·李', '雨果·维文', '奥兰多·布鲁姆', '马努·贝内特', '艾丹·特纳', '迪恩·奥戈曼', '格拉汉姆·麦克泰维什', '斯蒂芬·弗雷', '米卡埃尔·佩斯布兰特']",86,8.3,霍比特人3：五军之战,"['动作', '奇幻', '冒险']"
86,"['克里斯蒂安·贝尔', '迈克尔·凯恩', '连姆·尼森', '凯蒂·霍尔姆斯', '加里·奥德曼', '基里安·墨菲', '汤姆·威尔金森', '鲁特格尔·哈尔', '渡边谦', '小马克·布恩', '莱纳斯·罗彻', '摩根·弗里曼', '拉里·霍尔登', '杰拉德·墨菲', '柯林·麦克法兰', '莎拉·斯图尔特', '加斯·刘易斯', '理查德·布雷克', '拉德·舍博德兹加', '艾玛·洛克哈特', '克里斯蒂尼·亚当斯', '凯瑟琳·波特', '约翰·诺兰', '杰克·格里森']",87,8.3,蝙蝠侠：侠影之谜,"['剧情', '动作', '科幻', '犯罪', '惊悚']"
